"Name","Website","SKAdNetwork ID"
"Aarki","https://www.aarki.com/","4fzdc2evr5.skadnetwork"
"AdColony Inc.","https://www.adcolony.com/","4pfyvq9l8r.skadnetwork"
"Adikteev","https://www.adikteev.com/","ydx93a7ass.skadnetwork"
"Adtiming technology PTE. LTD.","https://www.adtiming.com/","488r3q3dtq.skadnetwork"
"Appier","https://www.appier.com/","v72qych5uu.skadnetwork"
"Applift","https://applift.com/","6xzpu9s2p8.skadnetwork"
"AppLovin","https://www.applovin.com/","ludvb6z3bs.skadnetwork"
"Appreciate","https://appreciate.mobi/","mlmmfzh3r3.skadnetwork"
"Apptimus LTD","","lr83yxwka7.skadnetwork"
"Beeswax","https://www.beeswax.com/","c6k4g5qg8m.skadnetwork"
"Bidmachine","https://bidmachine.io/","wg4vff78zm.skadnetwork"
"Centro","https://www.centro.net/","3sh42y64q3.skadnetwork"
"Chartboost","https://www.chartboost.com/","f38h382jlk.skadnetwork"
"Criteo","https://www.criteo.com/","hs6bdukanm.skadnetwork"
"Criteo SA (Manage.com)","https://www.manage.com/","9rd848q2bz.skadnetwork"
"CrossInstall","https://www.crossinstall.com/","prcb7njmu6.skadnetwork"
"Curate","https://www.curatemobile.com/","52fl2v3hgk.skadnetwork"
"Dataseat","https://www.dataseat.com/","m8dbw4sv7c.skadnetwork"
"Discipline Digital","https://www.disciplinedigital.com/","m5mvw97r93.skadnetwork"
"Facebook Audience Network 1","https://developers.facebook.com/docs/audience-network/guides/SKAdNetwork/","v9wttpbfk9.skadnetwork"
"Facebook Audience Network 2","https://developers.facebook.com/docs/audience-network/guides/SKAdNetwork/","n38lu8286q.skadnetwork"
"FeedMob","https://www.feedmob.com/","fz2k2k5tej.skadnetwork"
"GlobalWide Media Ltd","https://www.globalwidemedia.com/","g2y4y55b64.skadnetwork"
"Google AdMob","https://admob.google.com/","cstr6suwn9.skadnetwork"
"Hybrid","https://hybrid.ai/","w9q455wk68.skadnetwork"
"InMobi","https://www.inmobi.com/","wzmmz9fp6w.skadnetwork"
"ironSource","https://www.is.com/","su67r6k2v3.skadnetwork"
"Jampp","https://jampp.com/","yclnxrl5pm.skadnetwork"
"Kayzen","https://kayzen.io/","4468km3ulz.skadnetwork"
"Kidoz Ltd.","https://kidoz.net/","v79kvwwj4g.skadnetwork"
"Lifestreet","https://lifestreet.com/","t38b2kh725.skadnetwork"
"Liftoff","https://liftoff.io/","7ug5zh24hu.skadnetwork"
"Loopme","https://loopme.com/","5lm9lj6jb7.skadnetwork"
"Maiden Marketing Pvt Ltd.","","zmvfpc5aq8.skadnetwork"
"Mintegral","https://www.mintegral.com/","kbd757ywx3.skadnetwork"
"Mobupps","https://www.mobupps.com/","275upjj5gd.skadnetwork"
"Moloco","https://www.molocoads.com/","9t245vhmpl.skadnetwork"
"Pangle/Bytedance-China","https://www.bytedance.com/","238da6jt44.skadnetwork"
"Pangle/Bytedance-Non china","https://www.bytedance.com/","22mmun2rn5.skadnetwork"
"Persona.ly","https://persona.ly/","44jx6755aq.skadnetwork"
"PubNative GMBH","https://pubnative.net/","tl55sbb4fm.skadnetwork"
"Qverse","https://www.qverse.io/","24zw6aqk47.skadnetwork"
"Remerge","https://www.remerge.io/","2u9pt9hc89.skadnetwork"
"RTB House","https://www.rtbhouse.com/","8s468mfl3y.skadnetwork"
"Sabio Mobile Inc.","https://sabio.inc/","glqzh8vgby.skadnetwork"
"ScaleMonk","https://www.scalemonk.com/","av6w8kgt66.skadnetwork"
"Sift","https://www.sift.co/","klf5c3l5u5.skadnetwork"
"Smadex","https://www.smadex.com/","ppxm28t8ap.skadnetwork"
"Snap Inc.","https://www.snap.com/","424m5254lk.skadnetwork"
"Spotad LTD","https://spotad.co/","f73kdq92p3.skadnetwork"
"Spyke Media","https://www.spykemedia.com/","44n7hlldy6.skadnetwork"
"TapJoy","https://www.tapjoy.com/","ecpz2srf59.skadnetwork"
"Tremor","https://www.tremorvideo.com/","pwa73g5rt2.skadnetwork"
"Unity Technologies","https://unity.com/solutions/unity-ads","4dzt52r2t5.skadnetwork"
"Unity Technologies","https://unity.com/solutions/unity-ads","bvpn9ufa9b.skadnetwork"
"Vungle","https://www.vungle.com/","gta9lk7p23.skadnetwork"
"YouAppi","https://www.youappi.com/","3rd42ekr43.skadnetwork"